#name,region,country,latitude,longitude,location_type,conflict_date,population
Bangui,Bangui,CAR,4.36122,18.55496,conflict_zone,0,334350
Ndele,Bamingui-Bangoran,CAR,8.408104,20.651288,conflict_zone,0,13704
Bossembele,Ombella_M'Poko,CAR,5.25169,17.64362,conflict_zone,0,37849
Bouar,Nana-Mambere,CAR,5.93404,15.59599,conflict_zone,0,39205
Bossangoa,Ouham,CAR,6.49263,17.45518,conflict_zone,0,38451
Bouca,Ouham,CAR,6.50734,18.2767,conflict_zone,0,12280
Bamingui,Bamingui-Bangoran,CAR,7.55591,20.17667,conflict_zone,0,6230
Bambari,Ouaka,CAR,5.76795,20.67565,conflict_zone,0,41486
Bangassou,Mbomou,CAR,4.74132,22.81838,conflict_zone,0,35305
Rafai,Mbomou,CAR,5.49948,24.63336,conflict_zone,0,13962
Obo,Haut-Mbomou,CAR,5.388931,26.494545,conflict_zone,0,36029
Bohong,Ouham-Pende,CAR,6.4999,15.65276,conflict_zone,0,19700
Mbres,Nana-Grebizi,CAR,6.99628,19.810869,conflict_zone,0,20709
Damara,Ombella_M'Poko,CAR,4.96075,18.7035,conflict_zone,0,32321
Bogangolo,Ombella_M'Poko,CAR,5.57105,18.25367,conflict_zone,0,9966
Bozoum,Ouham-Pende,CAR,6.31933,16.37992,conflict_zone,5,22284
Bimbo,Ombella_M'Poko,CAR,4.25671,18.41583,conflict_zone,31,267859
Boda,Lobaye,CAR,4.31887,17.46953,conflict_zone,58,11688
Kaga Bandoro,Nana-Grebizi,CAR,6.98961,19.18744,conflict_zone,67,27797
Berberati,Mambere-Kadei,CAR,4.26116,15.79216,conflict_zone,72,105155
Nola,Sangha-Mbaere,CAR,3.52494,16.04583,conflict_zone,100,41462
Dekoa,Kemo,CAR,6.32229,19.07922,conflict_zone,128,12447
Bria,Haute-Kotto,CAR,6.54233,21.98633,conflict_zone,130,43322
Grimari,Ouaka,CAR,5.73948,20.05564,conflict_zone,134,10822
Paoua,Ouham-Pende,CAR,7.24269,16.44059,conflict_zone,146,17370
Carnot,Mambere-Kadei,CAR,4.94273,15.87735,conflict_zone,173,54551
Batangafo,Ouham,CAR,7.30082,18.2833,conflict_zone,241,16420
Sibut,Kemo,CAR,5.71801,19.07389,conflict_zone,313,24527
Amboko,La_Nya_Pende_Province,Chad,7.935476,16.594162,camp,,8129
Belom,Grande_Sido_Province,Chad,8.4475001,18.7544444,camp,,19172
Dosseye,La_Nya_Pende_Province,Chad,8.1591666,16.4888888,camp,,12449
Gondje,La_Nya_Pende_Province,Chad,7.939438,16.553668,camp,,7918
Moyo,Moyen-Chari_Province,Chad,9.91268,20.8723702,camp,,7631
East,East_Province,Cameroon,4.401183,14.238281,camp,,180485
Adamaoua,Adamawa_Province,Cameroon,6.83917,13.183594,camp,,71506
Mole,Sud-Ubangi_Province,DRC,4.1005,18.6584,camp,,20454
Bili,Equateur_Province,DRC,3.513421,20.917969,camp,,8966
Boyabu,Equateur_Province,DRC,3.9157,18.7397,camp,,17568
Mboti,Oriental_Province,DRC,4.0377,25.8301,camp,,704
Inke,Nord-Ubangi_Province,DRC,4.097438,20.766577,camp,,20365
Betou,Dongou_Province,RC,3.062182,18.518301,camp,,19784
Brazaville,Brazzaville,RC,-4.27934,15.26039,camp,,7221
Lolo,East_Province,Cameroon,4.27571,14.90738,forwarding_hub,,
Mbile,East_Province,Cameroon,4.32668,14.8401,forwarding_hub,,
Batouri,East_Province,Cameroon,4.43217,14.36775,forwarding_hub,,
Timangolo,East_Province,Cameroon,4.62817,14.5445,forwarding_hub,,
Gado-Badzere,East_Province,Cameroon,5.75442,14.4335,forwarding_hub,,
Borgop,Adamawa_Province,Cameroon,6.92064,14.80905,forwarding_hub,,
Ngam,Adamawa_Province,Cameroon,6.73375,14.57014,forwarding_hub,,
Mbaiki,Lobaye,CAR,3.86781,17.98923,town,,
Gamboula,Mambere-Kadei,CAR,4.11775,15.13926,town,,
Baboua,Nana-Mambere,CAR,5.79565,14.82799,town,,
RN1,Ouham-Pende,CAR,7.11211,17.03022,town,,
Kabo,Ouham,CAR,7.69937,18.62903,town,,
Birao,Vakaga_Province,CAR,10.28488,22.78818,town,,
Mobaye,Basse-Kotto,CAR,4.31902,21.17861,town,,
Marali,Ouham,CAR,6.04145,18.40866,town,,
Beboura,Ouham-Pende,CAR,7.34216,16.62442,town,,
RN8,Vakaga,CAR,9.56067,22.14045,town,,
Zemio,Haut-Mbomou,CAR,5.03144,25.13614,town,,
Gore,La_Nya_Pende_Province,Chad,7.928374,16.639144,town,,
Gbadolite,Nord-Ubangi_Province,DRC,4.28333,21.0167,town,,
N24,Equateur_Province,DRC,3.61056,20.76229,town,,
