#name,region,country,latitude,longitude,location_type,conflict_date,population
Borno,Borno,Nigeria,11.5221,13.6856,conflict_zone,0,6111500
Ondo,Ondo,Nigeria,7.2526,5.1931,conflict_zone,0,5316600
Kaduna,Kaduna,Nigeria,11.0686,6.7884,conflict_zone,0,9032200
Benue,Benue,Nigeria,7.9836,8.5899,conflict_zone,0,6141300
Enugu,Enugu,Nigeria,6.6592,7.7596,conflict_zone,0,4690100
Kebbi,Kebbi,Nigeria,12.2175,4.3792,conflict_zone,0,5563900
Rivers,Rivers,Nigeria,4.5778,6.8859,conflict_zone,1,7476800
Federal_Capital_Territory,Federal_Capital_Territory,Nigeria,9.1193,6.8673,conflict_zone,2,3067500
Ekiti,Ekiti,Nigeria,7.9561,5.5502,conflict_zone,2,3592200
Zamfara,Zamfara,Nigeria,11.8519,5.3312,conflict_zone,3,5833500
Katsina,Katsina,Nigeria,12.5463,7.8225,conflict_zone,3,10368500
Ebonyi,Ebonyi,Nigeria,6.1667,7.8167,conflict_zone,3,3242500
Delta,Delta,Nigeria,5.3649,6.1439,conflict_zone,4,5636100
Plateau,Plateau,Nigeria,9.3667,9.95,conflict_zone,5,4717300
Niger,Niger,Nigeria,10.1844,6.2534,conflict_zone,6,6783300
Kogi,Kogi,Nigeria,7.9992,7.5836,conflict_zone,7,4466800
Imo,Imo,Nigeria,5.7946,7.035,conflict_zone,8,5459300
Osun,Osun,Nigeria,7.8365,4.522,conflict_zone,9,4435800
Yobe,Yobe,Nigeria,12.897,11.9304,conflict_zone,9,3649600
Edo,Edo,Nigeria,7.0075,6.2784,conflict_zone,10,4777000
Anambra,Anambra,Nigeria,6.1715,7.0053,conflict_zone,10,5953500
Kwara,Kwara,Nigeria,8.5941,4.5563,conflict_zone,13,3551000
Lagos,Lagos,Nigeria,6.4979,3.3829,conflict_zone,14,13491800
Cross_River,Cross_River,Nigeria,4.9783,8.2752,conflict_zone,17,4406200
Kano,Kano,Nigeria,12.0218,8.5224,conflict_zone,23,15462200
Akwa_Ibom,Akwa_Ibom,Nigeria,5.0049,7.6103,conflict_zone,25,4979400
Oyo,Oyo,Nigeria,7.9744,3.2438,conflict_zone,26,7976100
Bauchi,Bauchi,Nigeria,10.3134,9.8433,conflict_zone,27,8308800
Adamawa,Adamawa,Nigeria,9.4553,11.9302,conflict_zone,29,4902100
Taraba,Taraba,Nigeria,7.8667,10.9667,conflict_zone,32,3609800
Jigawa,Jigawa,Nigeria,12.7267,10.4205,conflict_zone,34,7499100
Sokoto,Sokoto,Nigeria,13.2003,6.4071,conflict_zone,34,6391000
Nassarawa,Nassarawa,Nigeria,8.1,9.1333,conflict_zone,35,2886000
Abia,Abia,Nigeria,5.5263,7.4896,conflict_zone,44,4143100
Ogun,Ogun,Nigeria,6.6979,2.9827,conflict_zone,52,6379500
Bayelsa,Bayelsa,Nigeria,5.0556,5.7801,conflict_zone,57,2537400
Gombe,Gombe,Nigeria,9.8647,11.2253,conflict_zone,82,3960100
Chad,Chad,Chad,13.5849455,14.3791912,camp,,20000
Diffa,Niger,Niger,13.3132,12.6159,camp,,300000
Minawao,Cameroon,Cameroon,10.5514,13.8646,camp,,150000
Maradi,Niger,Niger,13.501,7.1036,camp,,100000
